geoid,Type_1.19
9001073600,LI - Ongoing Displacement of Low-Income Households
9001073700,LI - At Risk of Gentrification
9001073800,LI - At Risk of Gentrification
9001073900,LI - At Risk of Gentrification
9001074000,LI - At Risk of Gentrification
9001074300,LI - Ongoing Displacement of Low-Income Households
9001074400,LI - At Risk of Gentrification
9001080100,MHI - Stable or Early Stage of Exclusion
9001080200,LI - At Risk of Gentrification
9001080400,LI - At Risk of Gentrification
9001080600,MHI - Stable or Early Stage of Exclusion
9001080700,LI - At Risk of Gentrification
9001080800,MHI - Stable or Early Stage of Exclusion
9001080900,MHI - Advanced Exclusion
9001081000,MHI - Ongoing Exclusion
9001081100,MHI - Advanced Gentrification
9001081200,MHI - Stable or Early Stage of Exclusion
9001081300,MHI - Stable or Early Stage of Exclusion
9001090100,MHI - Stable or Early Stage of Exclusion
9001090200,MHI - Stable or Early Stage of Exclusion
9001090300,MHI - Advanced Gentrification
9001090400,MHI - Stable or Early Stage of Exclusion
9001090500,MHI - Stable or Early Stage of Exclusion
9001090600,MHI - Ongoing Exclusion
9001090700,VHI - Super Gentrification or Exclusion
9001100100,MHI - Advanced Gentrification
9001100200,MHI - Advanced Gentrification
9001100300,MHI - Stable or Early Stage of Exclusion
9001105100,MHI - Stable or Early Stage of Exclusion
9001105200,MHI - Stable or Early Stage of Exclusion
9001110100,MHI - Stable or Early Stage of Exclusion
9001110201,MHI - Stable or Early Stage of Exclusion
9001110202,MHI - Stable or Early Stage of Exclusion
9001110301,MHI - Stable or Early Stage of Exclusion
9001110302,MHI - Stable or Early Stage of Exclusion
9001110400,MHI - Stable or Early Stage of Exclusion
9001110500,MHI - Stable or Early Stage of Exclusion
9001110600,MHI - Advanced Gentrification
9001200100,MHI - Stable or Early Stage of Exclusion
9001200200,MHI - Stable or Early Stage of Exclusion
9001200301,MHI - Advanced Gentrification
9001200302,MHI - Stable or Early Stage of Exclusion
9001205100,MHI - Advanced Gentrification
9001205200,MHI - Stable or Early Stage of Exclusion
9001205300,MHI - Stable or Early Stage of Exclusion
9001210100,LI - At Risk of Gentrification
9001210200,LI - At Risk of Gentrification
9001210300,MHI - Stable or Early Stage of Exclusion
9001210400,MHI - Stable or Early Stage of Exclusion
9001210500,MHI - Stable or Early Stage of Exclusion
9001210600,MHI - Ongoing Exclusion
9001210701,LI - Ongoing Displacement of Low-Income Households
9001210702,LI - At Risk of Gentrification
9001210800,MHI - Advanced Exclusion
9001210900,MHI - Stable or Early Stage of Exclusion
9001211000,MHI - Stable or Early Stage of Exclusion
9001211100,Missing Data
9001211200,MHI - Stable or Early Stage of Exclusion
9001211300,MHI - Stable or Early Stage of Exclusion
9001211400,MHI - Stable or Early Stage of Exclusion
9001220100,MHI - Stable or Early Stage of Exclusion
9001220200,MHI - Stable or Early Stage of Exclusion
9001220300,MHI - Ongoing Exclusion
9001230100,MHI - Stable or Early Stage of Exclusion
9001230200,MHI - Advanced Gentrification
9001230300,MHI - Stable or Early Stage of Exclusion
9001230400,MHI - Stable or Early Stage of Exclusion
9001230501,MHI - Stable or Early Stage of Exclusion
9001230502,MHI - Stable or Early Stage of Exclusion
9001240100,MHI - Stable or Early Stage of Exclusion
9001240200,VHI - Super Gentrification or Exclusion
9001245100,VHI - Super Gentrification or Exclusion
9001245200,MHI - Stable or Early Stage of Exclusion
9001245300,MHI - Stable or Early Stage of Exclusion
9001245400,VHI - Super Gentrification or Exclusion
9001245500,VHI - Super Gentrification or Exclusion
9001245600,VHI - Super Gentrification or Exclusion
9001257100,MHI - Advanced Gentrification
9001257200,LI - At Risk of Gentrification
9005250100,MHI - Stable or Early Stage of Exclusion
9005253100,MHI - Advanced Exclusion
9005253200,MHI - Stable or Early Stage of Exclusion
9005253300,MHI - Stable or Early Stage of Exclusion
9005253400,MHI - Advanced Exclusion
9005253500,MHI - Stable or Early Stage of Exclusion
9005253600,LI - At Risk of Gentrification
9005260200,MHI - Ongoing Exclusion
9005261100,MHI - Ongoing Exclusion
9005262100,MHI - Stable or Early Stage of Exclusion
9005263200,MHI - Stable or Early Stage of Exclusion
9005265100,MHI - Advanced Gentrification
9005266100,MHI - Stable or Early Stage of Exclusion
9005267100,MHI - Stable or Early Stage of Exclusion
9005268100,MHI - Advanced Exclusion
9005290100,MHI - Advanced Gentrification
9005293100,MHI - Advanced Gentrification
9005296100,MHI - Ongoing Exclusion
9005298300,MHI - Stable or Early Stage of Exclusion
9005298400,MHI - Stable or Early Stage of Exclusion
9005300100,MHI - Ongoing Exclusion
9005300400,MHI - Stable or Early Stage of Exclusion
9005300500,MHI - Stable or Early Stage of Exclusion
9005303100,MHI - Stable or Early Stage of Exclusion
9005306100,MHI - Stable or Early Stage of Exclusion
9005310100,MHI - Ongoing Exclusion
9005310200,LI - Ongoing Displacement of Low-Income Households
9005310300,LI - Ongoing Displacement of Low-Income Households
9005310400,MHI - Ongoing Exclusion
9005310500,LI - Not Losing Low-Income Households
9005310601,MHI - Stable or Early Stage of Exclusion
9005310602,MHI - Stable or Early Stage of Exclusion
9005310700,MHI - Ongoing Exclusion
9005310801,MHI - Stable or Early Stage of Exclusion
9005310803,LI - At Risk of Gentrification
9005310804,MHI - Stable or Early Stage of Exclusion
9005320100,LI - At Risk of Gentrification
9005320200,MHI - Stable or Early Stage of Exclusion
9005342100,MHI - Stable or Early Stage of Exclusion
9005349100,MHI - Stable or Early Stage of Exclusion
9005349200,MHI - Stable or Early Stage of Exclusion
9005360100,MHI - Stable or Early Stage of Exclusion
9005360200,MHI - Advanced Gentrification
9005360300,MHI - Stable or Early Stage of Exclusion
9005360400,MHI - Ongoing Exclusion
9005362101,MHI - Stable or Early Stage of Exclusion
9005362102,MHI - Stable or Early Stage of Exclusion
9005425300,MHI - Stable or Early Stage of Exclusion
9005425400,MHI - Ongoing Exclusion
9005425500,MHI - Stable or Early Stage of Exclusion
9005425600,MHI - Stable or Early Stage of Exclusion
9009120100,MHI - Stable or Early Stage of Exclusion
9009120200,LI - Ongoing Displacement of Low-Income Households
9009125100,MHI - Advanced Gentrification
9009125200,LI - At Risk of Gentrification
9009125300,LI - Ongoing Displacement of Low-Income Households
9009125400,LI - Not Losing Low-Income Households
9009130101,MHI - Stable or Early Stage of Exclusion
9009130102,MHI - Stable or Early Stage of Exclusion
9009130200,MHI - Ongoing Exclusion
9009140100,MHI - Stable or Early Stage of Exclusion
9009140200,LI - At Risk of Gentrification
9009140300,LI - At Risk of Gentrification
9009140400,LI - At Risk of Gentrification
9009140500,LI - At Risk of Gentrification
9009140600,LI - At Risk of Gentrification
9009140700,LI - Ongoing Displacement of Low-Income Households
9009140800,LI - Ongoing Displacement of Low-Income Households
9009140900,LI - At Risk of Gentrification
9009141000,MHI - Stable or Early Stage of Exclusion
9009141100,MHI - Stable or Early Stage of Exclusion
9009141200,LI - At Risk of Gentrification
9009141300,LI - At Risk of Gentrification
9009141400,LI - At Risk of Gentrification
9009141500,LI - At Risk of Gentrification
9009141600,LI - At Risk of Gentrification
9009141800,LI - Ongoing Displacement of Low-Income Households
9009141900,MHI - Ongoing Exclusion
9009142000,MHI - Ongoing Exclusion
9009142100,LI - At Risk of Gentrification
9009142200,MHI - Stable or Early Stage of Exclusion
9009142400,LI - At Risk of Gentrification
9009142500,LI - At Risk of Gentrification
9009142601,LI - At Risk of Gentrification
9009142603,LI - At Risk of Gentrification
9009142604,MHI - Stable or Early Stage of Exclusion
9009142700,LI - At Risk of Gentrification
9009142800,MHI - Advanced Exclusion
9009150100,MHI - Stable or Early Stage of Exclusion
9009150200,MHI - Advanced Exclusion
9009150300,MHI - Stable or Early Stage of Exclusion
9009150400,MHI - Stable or Early Stage of Exclusion
9009150500,MHI - Stable or Early Stage of Exclusion
9009150600,MHI - Stable or Early Stage of Exclusion
9009150700,MHI - Stable or Early Stage of Exclusion
9009150800,MHI - Ongoing Exclusion
9009150900,MHI - Advanced Gentrification
9009151000,MHI - Stable or Early Stage of Exclusion
9009151100,MHI - Ongoing Exclusion
9009151200,MHI - Stable or Early Stage of Exclusion
9009154100,LI - At Risk of Gentrification
9009154200,LI - At Risk of Gentrification
9009154500,LI - At Risk of Gentrification
9009154600,LI - Ongoing Displacement of Low-Income Households
9009154700,MHI - Stable or Early Stage of Exclusion
9009154800,MHI - Advanced Gentrification
9009154900,MHI - Ongoing Exclusion
9009155000,LI - At Risk of Gentrification
9009155100,LI - At Risk of Gentrification
9009157100,LI - Not Losing Low-Income Households
9009157200,MHI - Ongoing Exclusion
9009157300,MHI - Advanced Gentrification
9009157400,MHI - Advanced Gentrification
9009160100,VHI - Super Gentrification or Exclusion
9009160200,MHI - Stable or Early Stage of Exclusion
9009161100,MHI - Advanced Gentrification
9009165100,MHI - Stable or Early Stage of Exclusion
9009165200,MHI - Ongoing Exclusion
9009165300,MHI - Advanced Exclusion
9009165400,MHI - Ongoing Exclusion
9009165500,LI - At Risk of Gentrification
9009165600,MHI - Stable or Early Stage of Exclusion
9009165700,MHI - Ongoing Exclusion
9009165801,MHI - Ongoing Exclusion
9009165802,MHI - Advanced Gentrification
9009165900,MHI - Advanced Gentrification
9009166001,MHI - Stable or Early Stage of Exclusion
9009166002,MHI - Ongoing Exclusion
9009167100,MHI - Ongoing Exclusion
9009167201,MHI - Stable or Early Stage of Exclusion
9009167202,MHI - Stable or Early Stage of Exclusion
9009167300,MHI - Advanced Gentrification
9009170100,LI - At Risk of Gentrification
9009170200,LI - Ongoing Displacement of Low-Income Households
9009170300,LI - At Risk of Gentrification
9009170400,MHI - Advanced Exclusion
9009170500,MHI - Stable or Early Stage of Exclusion
9009170600,LI - Not Losing Low-Income Households
9009170700,LI - Not Losing Low-Income Households
9009170800,LI - Not Losing Low-Income Households
9009170900,LI - Ongoing Displacement of Low-Income Households
9009171000,LI - Ongoing Displacement of Low-Income Households
9009171100,MHI - Stable or Early Stage of Exclusion
9009171200,MHI - Advanced Gentrification
9009171300,MHI - Stable or Early Stage of Exclusion
9009171400,LI - At Risk of Gentrification
9009171500,LI - At Risk of Gentrification
9009171600,MHI - Stable or Early Stage of Exclusion
9009171700,MHI - Stable or Early Stage of Exclusion
9009175100,MHI - Ongoing Exclusion
9009175200,MHI - Stable or Early Stage of Exclusion
9009175300,MHI - Stable or Early Stage of Exclusion
9009175400,MHI - Ongoing Exclusion
9009175500,MHI - Stable or Early Stage of Exclusion
9009175600,MHI - Advanced Gentrification
9009175700,MHI - Stable or Early Stage of Exclusion
9009175800,MHI - Advanced Gentrification
9009175900,MHI - Stable or Early Stage of Exclusion
9009176000,MHI - Stable or Early Stage of Exclusion
9009180200,MHI - Ongoing Exclusion
9009180300,LI - Ongoing Displacement of Low-Income Households
9009180400,MHI - Stable or Early Stage of Exclusion
9009180500,MHI - Ongoing Exclusion
9009180601,MHI - Ongoing Exclusion
9009180602,MHI - Stable or Early Stage of Exclusion
9009184100,MHI - Ongoing Exclusion
9009184200,MHI - Stable or Early Stage of Exclusion
9009184300,MHI - Stable or Early Stage of Exclusion
9009184400,MHI - Stable or Early Stage of Exclusion
9009184500,MHI - Advanced Gentrification
9009184600,MHI - Advanced Exclusion
9009184700,MHI - Stable or Early Stage of Exclusion
9009186100,MHI - Stable or Early Stage of Exclusion
9009186200,MHI - Stable or Early Stage of Exclusion
9009190100,MHI - Stable or Early Stage of Exclusion
9009190200,MHI - Stable or Early Stage of Exclusion
9009190301,MHI - Advanced Gentrification
9009190302,MHI - Stable or Early Stage of Exclusion
9009190303,MHI - Advanced Gentrification
9009194100,MHI - Stable or Early Stage of Exclusion
9009194201,MHI - Stable or Early Stage of Exclusion
9009194202,MHI - Ongoing Exclusion
9009341100,MHI - Stable or Early Stage of Exclusion
9009343101,MHI - Stable or Early Stage of Exclusion
9009343102,MHI - Ongoing Exclusion
9009343200,MHI - Advanced Gentrification
9009343300,MHI - Stable or Early Stage of Exclusion
9009343400,MHI - Advanced Gentrification
9009344100,MHI - Advanced Gentrification
9009344200,MHI - Advanced Gentrification
9009345100,MHI - Stable or Early Stage of Exclusion
9009345201,MHI - Stable or Early Stage of Exclusion
9009345202,MHI - Stable or Early Stage of Exclusion
9009345300,LI - At Risk of Gentrification
9009345400,MHI - Ongoing Exclusion
9009346101,MHI - Stable or Early Stage of Exclusion
9009346102,MHI - Stable or Early Stage of Exclusion
9009347100,MHI - Advanced Gentrification
9009347200,MHI - Advanced Gentrification
9009348111,MHI - Advanced Gentrification
9009348122,MHI - Stable or Early Stage of Exclusion
9009348123,MHI - Stable or Early Stage of Exclusion
9009348124,LI - Not Losing Low-Income Households
9009348125,LI - Not Losing Low-Income Households
9009350100,LI - Ongoing Displacement of Low-Income Households
9009350200,LI - Ongoing Displacement of Low-Income Households
9009350300,LI - Ongoing Displacement of Low-Income Households
9009350400,LI - At Risk of Gentrification
9009350500,LI - Ongoing Displacement of Low-Income Households
9009350800,LI - At Risk of Gentrification
9009350900,MHI - Stable or Early Stage of Exclusion
9009351000,LI - Ongoing Displacement of Low-Income Households
9009351100,LI - At Risk of Gentrification
9009351200,LI - At Risk of Gentrification
9009351300,LI - Ongoing Displacement of Low-Income Households
9009351400,LI - At Risk of Gentrification
9009351500,LI - Ongoing Displacement of Low-Income Households
9009351601,LI - Ongoing Displacement of Low-Income Households
9009351602,LI - Not Losing Low-Income Households
9009351700,LI - Ongoing Displacement of Low-Income Households
9009351800,MHI - Stable or Early Stage of Exclusion
9009351900,MHI - Stable or Early Stage of Exclusion
9009352000,MHI - Stable or Early Stage of Exclusion
9009352100,LI - At Risk of Gentrification
9009352200,LI - Ongoing Displacement of Low-Income Households
9009352300,LI - At Risk of Gentrification
9009352400,LI - Ongoing Displacement of Low-Income Households
9009352500,LI - Ongoing Displacement of Low-Income Households
9009352600,LI - Ongoing Displacement of Low-Income Households
9009352701,LI - At Risk of Gentrification
9009352702,MHI - Ongoing Exclusion
9009352800,LI - At Risk of Gentrification
9009361100,MHI - Advanced Gentrification
9009361200,MHI - Stable or Early Stage of Exclusion
9009361300,MHI - Stable or Early Stage of Exclusion
9009361401,LI - Ongoing Displacement of Low-Income Households
9009361402,MHI - Stable or Early Stage of Exclusion
9009361500,LI - Ongoing Displacement of Low-Income Households
34003001000,VHI - Super Gentrification or Exclusion
34003002100,MHI - Stable or Early Stage of Exclusion
34003002200,MHI - Stable or Early Stage of Exclusion
34003002300,MHI - Stable or Early Stage of Exclusion
34003003100,MHI - Stable or Early Stage of Exclusion
34003003200,MHI - Stable or Early Stage of Exclusion
34003003300,MHI - Advanced Exclusion
34003003401,MHI - Advanced Gentrification
34003003402,MHI - Ongoing Exclusion
34003003500,LI - Not Losing Low-Income Households
34003004001,MHI - Stable or Early Stage of Exclusion
34003004002,MHI - Stable or Early Stage of Exclusion
34003005000,MHI - Ongoing Exclusion
34003006100,MHI - Stable or Early Stage of Exclusion
34003006201,LI - Not Losing Low-Income Households
34003006202,MHI - Stable or Early Stage of Exclusion
34003006300,LI - Not Losing Low-Income Households
34003007001,MHI - Stable or Early Stage of Exclusion
34003007002,VHI - Super Gentrification or Exclusion
34003008000,MHI - Advanced Gentrification
34003009100,VHI - Super Gentrification or Exclusion
34003009200,VHI - Super Gentrification or Exclusion
34003010100,MHI - Advanced Exclusion
34003010200,MHI - Stable or Early Stage of Exclusion
34003010300,MHI - Ongoing Exclusion
34003011100,MHI - Ongoing Exclusion
34003011200,MHI - Ongoing Exclusion
34003011300,MHI - Ongoing Exclusion
34003011400,MHI - Stable or Early Stage of Exclusion
34003012001,MHI - Stable or Early Stage of Exclusion
34003012002,MHI - Stable or Early Stage of Exclusion
34003013001,MHI - Stable or Early Stage of Exclusion
34003013002,MHI - Stable or Early Stage of Exclusion
34003014000,MHI - Stable or Early Stage of Exclusion
34003015100,MHI - Stable or Early Stage of Exclusion
34003015200,MHI - Stable or Early Stage of Exclusion
34003015300,MHI - Stable or Early Stage of Exclusion
34003015400,MHI - Stable or Early Stage of Exclusion
34003015500,MHI - Ongoing Exclusion
34003016000,MHI - Stable or Early Stage of Exclusion
34003017100,MHI - Advanced Exclusion
34003017200,MHI - Ongoing Exclusion
34003017300,MHI - Advanced Gentrification
34003017400,MHI - Advanced Exclusion
34003017500,MHI - Stable or Early Stage of Exclusion
34003018100,LI - Not Losing Low-Income Households
34003018200,MHI - Stable or Early Stage of Exclusion
34003019102,MHI - Ongoing Exclusion
34003019103,MHI - Stable or Early Stage of Exclusion
34003019104,MHI - Stable or Early Stage of Exclusion
34003019202,MHI - Stable or Early Stage of Exclusion
34003019203,LI - Not Losing Low-Income Households
34003019204,MHI - Stable or Early Stage of Exclusion
34003019303,MHI - Stable or Early Stage of Exclusion
34003019304,MHI - Stable or Early Stage of Exclusion
34003019305,MHI - Stable or Early Stage of Exclusion
34003019306,MHI - Stable or Early Stage of Exclusion
34003020100,VHI - Super Gentrification or Exclusion
34003020200,VHI - Super Gentrification or Exclusion
34003021100,LI - Not Losing Low-Income Households
34003021200,MHI - Stable or Early Stage of Exclusion
34003021300,LI - At Risk of Gentrification
34003021400,LI - Not Losing Low-Income Households
34003021500,LI - Not Losing Low-Income Households
34003021600,LI - At Risk of Gentrification
34003022100,VHI - Super Gentrification or Exclusion
34003022200,VHI - Super Gentrification or Exclusion
34003023100,LI - At Risk of Gentrification
34003023200,LI - At Risk of Gentrification
34003023301,MHI - Stable or Early Stage of Exclusion
34003023302,MHI - Stable or Early Stage of Exclusion
34003023401,MHI - Stable or Early Stage of Exclusion
34003023402,LI - Not Losing Low-Income Households
34003023501,LI - At Risk of Gentrification
34003023502,MHI - Stable or Early Stage of Exclusion
34003023601,MHI - Stable or Early Stage of Exclusion
34003023602,LI - Ongoing Displacement of Low-Income Households
34003024100,MHI - Stable or Early Stage of Exclusion
34003024200,MHI - Stable or Early Stage of Exclusion
34003025100,MHI - Stable or Early Stage of Exclusion
34003025200,MHI - Ongoing Exclusion
34003026100,MHI - Stable or Early Stage of Exclusion
34003026200,MHI - Stable or Early Stage of Exclusion
34003027000,VHI - Super Gentrification or Exclusion
34003028001,MHI - Stable or Early Stage of Exclusion
34003028002,MHI - Stable or Early Stage of Exclusion
34003029100,LI - At Risk of Gentrification
34003029200,MHI - Stable or Early Stage of Exclusion
34003030100,LI - Not Losing Low-Income Households
34003030200,LI - Not Losing Low-Income Households
34003030300,LI - Ongoing Displacement of Low-Income Households
34003030400,MHI - Stable or Early Stage of Exclusion
34003031100,MHI - Stable or Early Stage of Exclusion
34003031200,MHI - Stable or Early Stage of Exclusion
34003031300,MHI - Stable or Early Stage of Exclusion
34003031400,MHI - Stable or Early Stage of Exclusion
34003032102,MHI - Stable or Early Stage of Exclusion
34003032103,MHI - Stable or Early Stage of Exclusion
34003032104,MHI - Stable or Early Stage of Exclusion
34003032201,MHI - Stable or Early Stage of Exclusion
34003032202,MHI - Stable or Early Stage of Exclusion
34003033100,MHI - Ongoing Exclusion
34003033200,MHI - Ongoing Exclusion
34003033300,MHI - Stable or Early Stage of Exclusion
34003034000,MHI - Stable or Early Stage of Exclusion
34003035100,MHI - Stable or Early Stage of Exclusion
34003035200,VHI - Super Gentrification or Exclusion
34003036100,MHI - Stable or Early Stage of Exclusion
34003036200,LI - Not Losing Low-Income Households
34003037100,MHI - Stable or Early Stage of Exclusion
34003037201,MHI - Stable or Early Stage of Exclusion
34003037202,MHI - Stable or Early Stage of Exclusion
34003038100,MHI - Stable or Early Stage of Exclusion
34003038200,MHI - Ongoing Exclusion
34003038300,MHI - Stable or Early Stage of Exclusion
34003039100,MHI - Stable or Early Stage of Exclusion
34003039200,MHI - Stable or Early Stage of Exclusion
34003039300,MHI - Stable or Early Stage of Exclusion
34003040001,VHI - Super Gentrification or Exclusion
34003040002,MHI - Stable or Early Stage of Exclusion
34003041100,LI - Not Losing Low-Income Households
34003041200,MHI - Stable or Early Stage of Exclusion
34003041301,MHI - Stable or Early Stage of Exclusion
34003041302,MHI - Stable or Early Stage of Exclusion
34003042100,MHI - Stable or Early Stage of Exclusion
34003042301,MHI - Stable or Early Stage of Exclusion
34003042302,MHI - Advanced Exclusion
34003042400,MHI - Ongoing Exclusion
34003042500,MHI - Stable or Early Stage of Exclusion
34003043001,MHI - Stable or Early Stage of Exclusion
34003043002,MHI - Stable or Early Stage of Exclusion
34003044100,VHI - Super Gentrification or Exclusion
34003044201,VHI - Super Gentrification or Exclusion
34003044202,MHI - Stable or Early Stage of Exclusion
34003045100,MHI - Ongoing Exclusion
34003045200,MHI - Stable or Early Stage of Exclusion
34003046100,MHI - Stable or Early Stage of Exclusion
34003046200,MHI - Ongoing Exclusion
34003046300,MHI - Ongoing Exclusion
34003047100,VHI - Super Gentrification or Exclusion
34003047200,VHI - Super Gentrification or Exclusion
34003047300,VHI - Super Gentrification or Exclusion
34003047400,MHI - Ongoing Exclusion
34003047500,VHI - Super Gentrification or Exclusion
34003048100,MHI - Advanced Exclusion
34003048200,VHI - Super Gentrification or Exclusion
34003049001,VHI - Super Gentrification or Exclusion
34003049002,MHI - Ongoing Exclusion
34003050000,MHI - Ongoing Exclusion
34003051100,MHI - Ongoing Exclusion
34003051200,MHI - Advanced Gentrification
34003051300,MHI - Stable or Early Stage of Exclusion
34003051400,MHI - Stable or Early Stage of Exclusion
34003052100,MHI - Stable or Early Stage of Exclusion
34003052200,MHI - Ongoing Exclusion
34003053100,MHI - Stable or Early Stage of Exclusion
34003053200,VHI - Super Gentrification or Exclusion
34003054100,MHI - Stable or Early Stage of Exclusion
34003054200,MHI - Stable or Early Stage of Exclusion
34003054300,VHI - Super Gentrification or Exclusion
34003054400,MHI - Stable or Early Stage of Exclusion
34003054500,MHI - Advanced Exclusion
34003054600,MHI - Stable or Early Stage of Exclusion
34003055100,VHI - Super Gentrification or Exclusion
34003055200,MHI - Ongoing Exclusion
34003056100,MHI - Advanced Gentrification
34003056200,MHI - Stable or Early Stage of Exclusion
34003057101,LI - Not Losing Low-Income Households
34003057102,MHI - Stable or Early Stage of Exclusion
34003057200,MHI - Stable or Early Stage of Exclusion
34003058100,MHI - Stable or Early Stage of Exclusion
