GEOID,Typology
34035051100,LI - Not Losing Low-Income Households
34035051200,LI - Not Losing Low-Income Households
34035051300,LI - Not Losing Low-Income Households
34035051400,LI - Not Losing Low-Income Households
34035051500,LI - Not Losing Low-Income Households
34025801100,MHI - Not Losing Low-Income Households
34033021201,MHI - Not Losing Low-Income Households
34033021700,MHI - Not Losing Low-Income Households
34033021900,LI - Not Losing Low-Income Households
34033022000,LI - Not Losing Low-Income Households
34035050100,LI - Not Losing Low-Income Households
34033022100,LI - Ongoing Gentrification
34033022202,MHI - At Risk of Exclusion
34005702300,LI - Ongoing Gentrification
34035050801,MHI - At Risk of Exclusion
34035052400,MHI - At Risk of Exclusion
34035053501,LI - Not Losing Low-Income Households
34023003101,MHI - At Risk of Exclusion
34005700303,MHI - Displacement of LI hh - Ongoing Exclusion
34005700603,LI - Ongoing Displacement of Low- Income Households
34005700104,LI - Ongoing Gentrification
34005703201,LI - Not Losing Low-Income Households
34005700304,LI - Not Losing Low-Income Households
34005704006,MHI - At Risk of Exclusion
34005702400,MHI - Displacement of LI hh - Ongoing Exclusion
34005702810,MHI - Not Losing Low-Income Households
34005703801,MHI - At Risk of Exclusion
34005703700,MHI - At Risk of Exclusion
34005700502,MHI - At Risk of Exclusion
34005704009,MHI - At Risk of Exclusion
34005700505,MHI - At Risk of Exclusion
34005702203,LI - Not Losing Low-Income Households
34005700306,MHI - At Risk of Exclusion
34005702206,LI - Not Losing Low-Income Households
34005701105,LI - Ongoing Gentrification
34005702204,LI - Not Losing Low-Income Households
34005703203,LI - Not Losing Low-Income Households
34005701303,MHI - At Risk of Exclusion
34005700403,LI - Not Losing Low-Income Households
34005703804,MHI - At Risk of Exclusion
34005700701,LI - Not Losing Low-Income Households
34005702805,LI - Not Losing Low-Income Households
34005702807,LI - Not Losing Low-Income Households
34005702207,LI - Not Losing Low-Income Households
34005703803,MHI - At Risk of Exclusion
34005700405,MHI - Not Losing Low-Income Households
34005703900,MHI - At Risk of Exclusion
34023003300,LI - Ongoing Displacement of Low- Income Households
34023003203,LI - Ongoing Displacement of Low- Income Households
34023007908,LI - Not Losing Low-Income Households
34023007909,MHI - Displacement of LI hh - Ongoing Exclusion
34023007910,LI - Not Losing Low-Income Households
34027041200,MHI - At Risk of Exclusion
34027041500,MHI - At Risk of Exclusion
34027041601,LI - Not Losing Low-Income Households
34027041602,MHI - At Risk of Exclusion
34005702500,MHI - Not Losing Low-Income Households
34023006606,MHI - At Risk of Exclusion
34023004300,LI - Not Losing Low-Income Households
34023001001,MHI - At Risk of Exclusion
34023007702,MHI - Not Losing Low-Income Households
34023002302,MHI - At Risk of Exclusion
34031181100,LI - Ongoing Gentrification
34031181300,LI - Not Losing Low-Income Households
34031181400,LI - Not Losing Low-Income Households
34031181500,LI - Not Losing Low-Income Households
34031181800,LI - Not Losing Low-Income Households
34031181900,LI - Not Losing Low-Income Households
34031182000,LI - Ongoing Gentrification
34031182100,LI - Not Losing Low-Income Households
34031182200,LI - Not Losing Low-Income Households
34031182500,LI - Not Losing Low-Income Households
34031182900,LI - Not Losing Low-Income Households
34031182600,LI - Not Losing Low-Income Households
34031182700,LI - Not Losing Low-Income Households
34031182800,LI - Not Losing Low-Income Households
34031246101,MHI - At Risk of Exclusion
34013008900,LI - Not Losing Low-Income Households
34031203600,LI - Not Losing Low-Income Households
34031246001,MHI - Not Losing Low-Income Households
34031246002,MHI - At Risk of Exclusion
34031246102,MHI - Displacement of LI hh - Ongoing Exclusion
34013001500,LI - Not Losing Low-Income Households
34031246103,MHI - At Risk of Exclusion
34041030600,LI - Not Losing Low-Income Households
34041030700,LI - Not Losing Low-Income Households
34041030800,LI - Not Losing Low-Income Households
34031246104,LI - Not Losing Low-Income Households
34031246201,MHI - Displacement of LI hh - Ongoing Exclusion
34031246202,MHI - Displacement of LI hh - Ongoing Exclusion
34031246203,MHI - At Risk of Exclusion
34031256801,MHI - Displacement of LI hh - Ongoing Exclusion
34013020800,MHI - At Risk of Exclusion
34013001600,LI - Not Losing Low-Income Households
34013009400,LI - Not Losing Low-Income Households
34013000700,LI - Not Losing Low-Income Households
34013020700,MHI - At Risk of Exclusion
34013000300,LI - Not Losing Low-Income Households
34013012500,LI - Not Losing Low-Income Households
34013016600,MHI - At Risk of Exclusion
34013015300,MHI - Not Losing Low-Income Households
34017018400,MHI - At Risk of Exclusion
34003031200,LI - Not Losing Low-Income Households
34003048100,LI - Not Losing Low-Income Households
34003051100,LI - Not Losing Low-Income Households
34013007800,LI - At Risk of Gentrification
34013010600,LI - Not Losing Low-Income Households
34013005100,LI - Ongoing Displacement of Low- Income Households
34017002400,MHI - Displacement of LI hh - Ongoing Exclusion
34017011600,LI - Ongoing Displacement of Low- Income Households
34017014700,LI - Not Losing Low-Income Households
34017005600,LI - Not Losing Low-Income Households
34017015300,LI - Not Losing Low-Income Households
34017000902,LI - Not Losing Low-Income Households
34017004300,LI - Ongoing Gentrification
34017013000,LI - Not Losing Low-Income Households
34017016800,LI - At Risk of Gentrification
34017019400,MHI - At Risk of Exclusion
34017010700,LI - Not Losing Low-Income Households
34017014000,LI - Not Losing Low-Income Households
34017000100,LI - Not Losing Low-Income Households
34017001400,LI - Ongoing Gentrification
34017013200,LI - Not Losing Low-Income Households
34017016200,LI - Not Losing Low-Income Households
34017016600,LI - At Risk of Gentrification
34017018000,MHI - Advanced Gentrification
34017000800,MHI - Displacement of LI hh - Ongoing Exclusion
34017000400,LI - Not Losing Low-Income Households
34017000500,LI - At Risk of Gentrification
34017000700,LI - Ongoing Displacement of Low- Income Households
34017001800,LI - Not Losing Low-Income Households
34017001100,LI - Not Losing Low-Income Households
34017001202,LI - Ongoing Gentrification
34017001300,LI - Not Losing Low-Income Households
34017001900,LI - Not Losing Low-Income Households
34017002000,LI - Not Losing Low-Income Households
34013004100,LI - Not Losing Low-Income Households
34013002100,LI - Not Losing Low-Income Households
34013002500,LI - Not Losing Low-Income Households
34013002000,LI - Not Losing Low-Income Households
34013002600,LI - At Risk of Gentrification
34013002800,LI - Not Losing Low-Income Households
34013003900,LI - Not Losing Low-Income Households
34013012800,LI - Not Losing Low-Income Households
34013013500,MHI - Displacement of LI hh - Ongoing Exclusion
34013016000,MHI - At Risk of Exclusion
34013013800,MHI - At Risk of Exclusion
34013014100,MHI - Not Losing Low-Income Households
34013014200,MHI - At Risk of Exclusion
34013007300,LI - Not Losing Low-Income Households
34013004802,LI - Not Losing Low-Income Households
34013005200,LI - Ongoing Displacement of Low- Income Households
34013007200,MHI - Displacement of LI hh - Ongoing Exclusion
34013008200,LI - Ongoing Gentrification
34013007501,LI - Not Losing Low-Income Households
34031124602,LI - Ongoing Displacement of Low- Income Households
34031124700,MHI - Displacement of LI hh - Ongoing Exclusion
34031124800,MHI - Not Losing Low-Income Households
34013008100,LI - Not Losing Low-Income Households
34013008700,LI - Not Losing Low-Income Households
34013017200,MHI - At Risk of Exclusion
34013016100,MHI - At Risk of Exclusion
34013016200,MHI - At Risk of Exclusion
34013016400,MHI - Displacement of LI hh - Ongoing Exclusion
34013016500,MHI - At Risk of Exclusion
34013017100,LI - Not Losing Low-Income Households
34013017700,LI - Not Losing Low-Income Households
34013018000,MHI - At Risk of Exclusion
34013018800,LI - Not Losing Low-Income Households
34013019000,MHI - At Risk of Exclusion
34013019100,MHI - At Risk of Exclusion
34013019600,MHI - At Risk of Exclusion
34013020300,MHI - At Risk of Exclusion
34003021600,LI - Not Losing Low-Income Households
34013020500,MHI - At Risk of Exclusion
34013020600,MHI - At Risk of Exclusion
34003022100,MHI - At Risk of Exclusion
34007600400,LI - Not Losing Low-Income Households
34007600700,LI - Ongoing Displacement of Low- Income Households
34007600800,LI - Not Losing Low-Income Households
34017004400,LI - Not Losing Low-Income Households
34013009200,LI - Not Losing Low-Income Households
34013009300,LI - Not Losing Low-Income Households
34013009600,LI - Ongoing Gentrification
34017002900,LI - Not Losing Low-Income Households
34017003000,LI - Not Losing Low-Income Households
34017004101,LI - Not Losing Low-Income Households
34017004200,LI - Not Losing Low-Income Households
34017004500,LI - Not Losing Low-Income Households
34017005900,LI - Not Losing Low-Income Households
34017005300,LI - Not Losing Low-Income Households
34017005400,MHI - At Risk of Exclusion
34017005801,LI - Not Losing Low-Income Households
34017006000,LI - Not Losing Low-Income Households
34017006100,LI - Not Losing Low-Income Households
34009020700,MHI - At Risk of Exclusion
34009021500,LI - Not Losing Low-Income Households
34009021400,LI - Not Losing Low-Income Households
34009020500,LI - Not Losing Low-Income Households
34009021300,LI - Not Losing Low-Income Households
34009020400,MHI - At Risk of Exclusion
34009020600,MHI - Not Losing Low-Income Households
34013012100,LI - Not Losing Low-Income Households
34009020800,MHI - At Risk of Exclusion
34013010200,LI - Not Losing Low-Income Households
34013010300,LI - Not Losing Low-Income Households
34013010700,LI - Ongoing Displacement of Low- Income Households
34013010900,LI - Not Losing Low-Income Households
34013011100,LI - Not Losing Low-Income Households
34013011200,LI - Not Losing Low-Income Households
34013011300,LI - Not Losing Low-Income Households
34013011800,LI - Not Losing Low-Income Households
34017010600,LI - Not Losing Low-Income Households
34013012200,LI - Not Losing Low-Income Households
34017006300,LI - Not Losing Low-Income Households
34017010100,LI - Not Losing Low-Income Households
34017010200,LI - At Risk of Gentrification
34017010300,LI - Ongoing Gentrification
34017010400,MHI - At Risk of Exclusion
34017010500,MHI - At Risk of Exclusion
34017010800,MHI - Not Losing Low-Income Households
34017010900,LI - Not Losing Low-Income Households
34017012400,MHI - At Risk of Exclusion
34017011000,LI - Not Losing Low-Income Households
34017011100,LI - At Risk of Gentrification
34017011500,MHI - Not Losing Low-Income Households
34017012500,MHI - At Risk of Exclusion
34017012600,LI - Not Losing Low-Income Households
34013000400,LI - Ongoing Displacement of Low- Income Households
34003022200,MHI - Displacement of LI hh - Ongoing Exclusion
34007608001,LI - Not Losing Low-Income Households
34007609000,LI - Not Losing Low-Income Households
34007600200,LI - Ongoing Displacement of Low- Income Households
34003020200,MHI - At Risk of Exclusion
34003021200,LI - Ongoing Displacement of Low- Income Households
34003021400,LI - Not Losing Low-Income Households
34003021500,LI - Not Losing Low-Income Households
34003053100,MHI - At Risk of Exclusion
34003003500,LI - Not Losing Low-Income Households
34003003401,MHI - At Risk of Exclusion
34013003700,LI - Not Losing Low-Income Households
34013004300,LI - At Risk of Gentrification
34013007600,LI - Not Losing Low-Income Households
34013010800,LI - Not Losing Low-Income Households
34013013200,LI - Not Losing Low-Income Households
34013015900,MHI - Not Losing Low-Income Households
34013020000,MHI - Not Losing Low-Income Households
34013000100,LI - Not Losing Low-Income Households
34001012502,MHI - At Risk of Exclusion
34001012602,MHI - At Risk of Exclusion
34001012701,MHI - At Risk of Exclusion
34013000200,LI - Ongoing Displacement of Low- Income Households
34013000600,LI - Not Losing Low-Income Households
34001002300,LI - Not Losing Low-Income Households
34013001000,LI - Not Losing Low-Income Households
34013001100,LI - Not Losing Low-Income Households
34013001300,LI - Not Losing Low-Income Households
34001012702,LI - Ongoing Displacement of Low- Income Households
34021003903,MHI - At Risk of Exclusion
34021000600,LI - Not Losing Low-Income Households
34021002500,LI - Not Losing Low-Income Households
34001000100,LI - Not Losing Low-Income Households
34001001200,LI - Not Losing Low-Income Households
34001001400,LI - Not Losing Low-Income Households
34001000200,LI - Not Losing Low-Income Households
34001000300,LI - Ongoing Gentrification
34001000400,LI - Not Losing Low-Income Households
34015501604,LI - Ongoing Gentrification
34015501702,MHI - Not Losing Low-Income Households
34001001100,LI - Not Losing Low-Income Households
34001001500,LI - Ongoing Displacement of Low- Income Households
34001002400,LI - Not Losing Low-Income Households
34001001900,LI - Ongoing Displacement of Low- Income Households
34001011702,LI - Not Losing Low-Income Households
34015502300,MHI - Advanced Gentrification
34015501201,MHI - At Risk of Exclusion
34015501703,LI - Ongoing Gentrification
34001010101,MHI - At Risk of Exclusion
34001011600,MHI - Not Losing Low-Income Households
34001010403,MHI - Not Losing Low-Income Households
34001011803,LI - Not Losing Low-Income Households
34001000500,LI - Not Losing Low-Income Households
34001010501,MHI - At Risk of Exclusion
34001011401,MHI - At Risk of Exclusion
34001010401,MHI - Not Losing Low-Income Households
34001012200,LI - Not Losing Low-Income Households
34001011802,MHI - Displacement of LI hh - Ongoing Exclusion
34001001300,LI - Not Losing Low-Income Households
34001010700,MHI - Advanced Gentrification
34001011500,MHI - Advanced Gentrification
34001011202,MHI - Not Losing Low-Income Households
34001010600,LI - Not Losing Low-Income Households
34001010300,LI - Not Losing Low-Income Households
34001012801,LI - Not Losing Low-Income Households
34001012802,MHI - At Risk of Exclusion
34001013000,MHI - At Risk of Exclusion
34001010200,MHI - At Risk of Exclusion
34001002500,LI - Ongoing Gentrification
34001010102,LI - Ongoing Gentrification
34013004801,LI - Not Losing Low-Income Households
34001010900,MHI - Not Losing Low-Income Households
34001011000,MHI - Displacement of LI hh - Ongoing Exclusion
34001011100,MHI - Not Losing Low-Income Households
34001011201,MHI - Not Losing Low-Income Households
34001011300,LI - Not Losing Low-Income Households
34001011701,MHI - Not Losing Low-Income Households
34001010503,LI - Not Losing Low-Income Households
34001010800,MHI - Displacement of LI hh - Ongoing Exclusion
34001011900,LI - Not Losing Low-Income Households
34001012000,LI - Not Losing Low-Income Households
34001012100,LI - Not Losing Low-Income Households
34001012302,MHI - Displacement of LI hh - Ongoing Exclusion
34001012401,MHI - At Risk of Exclusion
34001012402,MHI - At Risk of Exclusion
34001012501,MHI - Displacement of LI hh - Ongoing Exclusion
34013009500,LI - Not Losing Low-Income Households
34013000500,LI - Not Losing Low-Income Households
34013018100,LI - Not Losing Low-Income Households
34013006900,LI - Ongoing Displacement of Low- Income Households
34013007700,LI - Not Losing Low-Income Households
34013018900,LI - Not Losing Low-Income Households
34013012900,LI - Not Losing Low-Income Households
34013014300,MHI - At Risk of Exclusion
34013015600,MHI - Not Losing Low-Income Households
34013017400,MHI - Displacement of LI hh - Ongoing Exclusion
34013021601,MHI - At Risk of Exclusion
34023007905,MHI - Not Losing Low-Income Households
34003039100,LI - Not Losing Low-Income Households
34003039200,MHI - At Risk of Exclusion
34009022000,LI - Not Losing Low-Income Households
34011030100,LI - Not Losing Low-Income Households
34011030200,LI - Ongoing Displacement of Low- Income Households
34011030300,LI - Not Losing Low-Income Households
34037371000,LI - Not Losing Low-Income Households
34037372200,LI - Not Losing Low-Income Households
34037371700,MHI - Displacement of LI hh - Ongoing Exclusion
34037372600,MHI - Displacement of LI hh - Ongoing Exclusion
34037374100,MHI - At Risk of Exclusion
34037371400,MHI - At Risk of Exclusion
34037371900,LI - Not Losing Low-Income Households
34037372000,LI - Not Losing Low-Income Households
34029715500,LI - Not Losing Low-Income Households
34029716000,LI - Ongoing Gentrification
34023006500,MHI - At Risk of Exclusion
34023006601,MHI - At Risk of Exclusion
34023006604,LI - Not Losing Low-Income Households
34039038500,MHI - At Risk of Exclusion
34039039000,LI - Not Losing Low-Income Households
34029711200,MHI - Displacement of LI hh - Ongoing Exclusion
34029712000,MHI - At Risk of Exclusion
34029713000,MHI - Displacement of LI hh - Ongoing Exclusion
34029715800,LI - Not Losing Low-Income Households
34029722200,LI - Not Losing Low-Income Households
34023006605,MHI - At Risk of Exclusion
34023006607,MHI - At Risk of Exclusion
34023006608,MHI - At Risk of Exclusion
34027044900,LI - Not Losing Low-Income Households
34027045000,LI - Not Losing Low-Income Households
34027045100,LI - Not Losing Low-Income Households
34039030200,LI - Not Losing Low-Income Households
34039030400,LI - Not Losing Low-Income Households
34039030600,LI - Not Losing Low-Income Households
34039030802,LI - Not Losing Low-Income Households
34039031100,LI - Ongoing Gentrification
34039031300,LI - Not Losing Low-Income Households
34039031500,LI - Not Losing Low-Income Households
34023004600,LI - Not Losing Low-Income Households
34023007303,MHI - Not Losing Low-Income Households
34023008601,MHI - Displacement of LI hh - Ongoing Exclusion
34023001804,LI - Not Losing Low-Income Households
34023008101,LI - Not Losing Low-Income Households
34023003201,MHI - Displacement of LI hh - Ongoing Exclusion
34003025200,MHI - At Risk of Exclusion
34029722500,LI - Not Losing Low-Income Households
34029722800,MHI - Not Losing Low-Income Households
34029723100,LI - Not Losing Low-Income Households
34029723200,MHI - At Risk of Exclusion
34029723300,MHI - Displacement of LI hh - Ongoing Exclusion
34023006701,MHI - At Risk of Exclusion
34027045401,LI - Not Losing Low-Income Households
34027045200,LI - Not Losing Low-Income Households
34027045901,LI - Not Losing Low-Income Households
34039032100,MHI - At Risk of Exclusion
34039032400,LI - Not Losing Low-Income Households
34039032500,MHI - At Risk of Exclusion
34039032600,LI - Ongoing Displacement of Low- Income Households
34039032700,MHI - Displacement of LI hh - Ongoing Exclusion
34023000802,MHI - At Risk of Exclusion
34023007203,LI - Not Losing Low-Income Households
34023005800,LI - Not Losing Low-Income Households
34023008208,MHI - Displacement of LI hh - Ongoing Exclusion
34023008202,MHI - At Risk of Exclusion
34023003102,MHI - Not Losing Low-Income Households
34023007804,MHI - At Risk of Exclusion
34023001702,LI - Not Losing Low-Income Households
34023008406,MHI - At Risk of Exclusion
34021000800,LI - Not Losing Low-Income Households
34021000900,LI - Ongoing Displacement of Low- Income Households
34021001000,LI - Ongoing Displacement of Low- Income Households
34021001200,LI - Not Losing Low-Income Households
34011010200,LI - Not Losing Low-Income Households
34021001500,LI - Not Losing Low-Income Households
34021001600,LI - Not Losing Low-Income Households
34021001700,LI - Not Losing Low-Income Households
34021001800,LI - Not Losing Low-Income Households
34021001900,LI - Not Losing Low-Income Households
34021002000,LI - Not Losing Low-Income Households
34003024100,MHI - At Risk of Exclusion
34003059100,LI - Not Losing Low-Income Households
34003048200,MHI - Displacement of LI hh - Ongoing Exclusion
34003015100,MHI - At Risk of Exclusion
34003046200,LI - Not Losing Low-Income Households
34011020100,LI - Not Losing Low-Income Households
34003006100,LI - Not Losing Low-Income Households
34021002100,LI - Not Losing Low-Income Households
34021002200,LI - Not Losing Low-Income Households
34003038200,LI - Not Losing Low-Income Households
34003033200,MHI - At Risk of Exclusion
34003035200,MHI - Displacement of LI hh - Ongoing Exclusion
34021002800,LI - Not Losing Low-Income Households
34021002902,LI - Not Losing Low-Income Households
34011020200,LI - Not Losing Low-Income Households
34011020300,LI - Not Losing Low-Income Households
34011010800,MHI - Advanced Gentrification
34011040300,MHI - Displacement of LI hh - Ongoing Exclusion
34011010600,MHI - Advanced Gentrification
34011041000,MHI - Not Losing Low-Income Households
34011030400,MHI - Not Losing Low-Income Households
34011010500,MHI - Not Losing Low-Income Households
34021003002,MHI - At Risk of Exclusion
34021003006,MHI - At Risk of Exclusion
34021003007,MHI - At Risk of Exclusion
34021003008,MHI - At Risk of Exclusion
34021003009,LI - Not Losing Low-Income Households
34021003500,LI - Not Losing Low-Income Households
34021003601,MHI - At Risk of Exclusion
34021003602,LI - Not Losing Low-Income Households
34025808401,LI - Ongoing Gentrification
34021003902,MHI - At Risk of Exclusion
34021004000,MHI - At Risk of Exclusion
34021003004,MHI - Not Losing Low-Income Households
34007601300,LI - Not Losing Low-Income Households
34015501900,LI - Ongoing Gentrification
34021004201,MHI - Displacement of LI hh - Ongoing Exclusion
34021004403,LI - Not Losing Low-Income Households
34023008102,LI - Not Losing Low-Income Households
34023008604,MHI - Displacement of LI hh - Ongoing Exclusion
34023002200,MHI - Displacement of LI hh - Ongoing Exclusion
34007602902,LI - Not Losing Low-Income Households
34033021202,MHI - Advanced Gentrification
34033020400,LI - Not Losing Low-Income Households
34033022201,MHI - Not Losing Low-Income Households
34033020700,MHI - At Risk of Exclusion
34025800602,MHI - At Risk of Exclusion
34025800701,MHI - At Risk of Exclusion
34025800800,MHI - At Risk of Exclusion
34025800702,LI - Not Losing Low-Income Households
34025802000,LI - Not Losing Low-Income Households
34025802300,LI - Not Losing Low-Income Households
34025801700,LI - Not Losing Low-Income Households
34025802500,LI - Not Losing Low-Income Households
34025802600,LI - Not Losing Low-Income Households
34025802700,MHI - At Risk of Exclusion
34025802400,MHI - At Risk of Exclusion
34025803500,LI - Not Losing Low-Income Households
34025803900,MHI - At Risk of Exclusion
34025802800,MHI - Not Losing Low-Income Households
34025803100,LI - Not Losing Low-Income Households
34025803400,LI - Not Losing Low-Income Households
34025810502,MHI - At Risk of Exclusion
34025810503,LI - Not Losing Low-Income Households
34025810700,LI - Ongoing Gentrification
34025810900,LI - Not Losing Low-Income Households
34025803600,LI - Ongoing Displacement of Low- Income Households
34025804100,MHI - At Risk of Exclusion
34003037202,LI - Ongoing Gentrification
34003038100,LI - Not Losing Low-Income Households
34003038300,LI - Not Losing Low-Income Households
34025804200,MHI - At Risk of Exclusion
34025811000,LI - Not Losing Low-Income Households
34025811600,LI - Not Losing Low-Income Households
34025812000,MHI - At Risk of Exclusion
34025805500,LI - Not Losing Low-Income Households
34025805400,LI - Not Losing Low-Income Households
34025808402,LI - Not Losing Low-Income Households
34005702208,MHI - Not Losing Low-Income Households
34025808001,MHI - At Risk of Exclusion
34025808500,LI - Not Losing Low-Income Households
34005703102,MHI - Displacement of LI hh - Ongoing Exclusion
34005703600,MHI - At Risk of Exclusion
34005704005,MHI - At Risk of Exclusion
34025810401,MHI - At Risk of Exclusion
34025805600,LI - Not Losing Low-Income Households
34025805700,LI - Not Losing Low-Income Households
34025805900,LI - Ongoing Displacement of Low- Income Households
34025806000,LI - Not Losing Low-Income Households
34025806100,LI - Not Losing Low-Income Households
34029739000,MHI - At Risk of Exclusion
34029715000,MHI - At Risk of Exclusion
34029718000,MHI - At Risk of Exclusion
34025806400,MHI - At Risk of Exclusion
34025806502,LI - Not Losing Low-Income Households
34025808900,LI - Not Losing Low-Income Households
34025809000,LI - Ongoing Gentrification
34025809100,MHI - At Risk of Exclusion
34025809200,MHI - At Risk of Exclusion
34005701103,MHI - Advanced Gentrification
34005701201,LI - Not Losing Low-Income Households
34025806503,MHI - At Risk of Exclusion
34025806504,LI - Not Losing Low-Income Households
34025807004,LI - Not Losing Low-Income Households
34025807100,LI - Not Losing Low-Income Households
34025807300,LI - Not Losing Low-Income Households
34005701203,LI - Not Losing Low-Income Households
34025809600,MHI - Not Losing Low-Income Households
34005702802,LI - Not Losing Low-Income Households
34025810001,MHI - At Risk of Exclusion
34025810002,LI - Ongoing Displacement of Low- Income Households
34025810003,MHI - At Risk of Exclusion
34025807400,LI - Not Losing Low-Income Households
34025807500,LI - Not Losing Low-Income Households
34025807600,LI - Not Losing Low-Income Households
34025807700,LI - Not Losing Low-Income Households
34005701204,LI - Not Losing Low-Income Households
34025810004,MHI - At Risk of Exclusion
34025807800,LI - Not Losing Low-Income Households
34025807900,LI - Ongoing Gentrification
34025810402,MHI - Displacement of LI hh - Ongoing Exclusion
34007601200,LI - Not Losing Low-Income Households
34025808200,LI - Ongoing Displacement of Low- Income Households
34025808300,LI - Not Losing Low-Income Households
34005702803,LI - Not Losing Low-Income Households
34007603505,MHI - At Risk of Exclusion
34035052800,MHI - At Risk of Exclusion
34003051200,MHI - At Risk of Exclusion
34003051300,LI - Not Losing Low-Income Households
34009021600,MHI - At Risk of Exclusion
34025801300,LI - Not Losing Low-Income Households
34025804600,MHI - Displacement of LI hh - Ongoing Exclusion
34025801400,MHI - At Risk of Exclusion
34025801800,LI - Not Losing Low-Income Households
34025801600,LI - Not Losing Low-Income Households
34025800200,LI - Not Losing Low-Income Households
34025808100,LI - Not Losing Low-Income Households
34025809901,MHI - At Risk of Exclusion
34025805300,LI - Not Losing Low-Income Households
34025801500,MHI - At Risk of Exclusion
34025803800,MHI - Not Losing Low-Income Households
34025803700,MHI - Displacement of LI hh - Ongoing Exclusion
34025810800,LI - Not Losing Low-Income Households
34025800900,MHI - At Risk of Exclusion
34025803000,MHI - Displacement of LI hh - Ongoing Exclusion
34025806501,LI - Not Losing Low-Income Households
34025811900,MHI - Displacement of LI hh - Ongoing Exclusion
34025808600,LI - Not Losing Low-Income Households
34025811301,LI - Not Losing Low-Income Households
34025802200,LI - Not Losing Low-Income Households
34025810200,MHI - At Risk of Exclusion
34025809902,MHI - At Risk of Exclusion
34025803300,MHI - At Risk of Exclusion
34025810501,LI - Not Losing Low-Income Households
34025806600,MHI - At Risk of Exclusion
34025808800,LI - Not Losing Low-Income Households
34025810600,LI - Not Losing Low-Income Households
34025811200,LI - Ongoing Gentrification
34025801000,LI - Not Losing Low-Income Households
34025807003,LI - Not Losing Low-Income Households
34025806300,MHI - At Risk of Exclusion
34025804800,LI - Not Losing Low-Income Households
34025802100,LI - Not Losing Low-Income Households
34025805001,LI - Not Losing Low-Income Households
34025805100,MHI - At Risk of Exclusion
34025801900,LI - Not Losing Low-Income Households
34025809701,MHI - Displacement of LI hh - Ongoing Exclusion
34025810300,LI - Ongoing Gentrification
34025809400,MHI - At Risk of Exclusion
34025808002,MHI - At Risk of Exclusion
